Date,Name,Icon,Type,Quantity,Units,Calories,Deleted,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
04/28/2020,Chia pudding,Recipe,Breakfast,1.0,Serving,106,0,3.17,13.33,5.50,0.58,0.50,3.33,15,31.67
04/28/2020,"Orange, Medium",Orange,Breakfast,0.2,Each,12,0,0.3,0.25,3.8,0,2.45,0.63,0,0
04/28/2020,"Sugar, Granulated",SugarWhite,Breakfast,1.0,Teaspoon,16,0,0,0,4.20,0,4.19,0,0,0.4
04/28/2020,Fesenjan,Recipe,Lunch,1.0,Serving,359,0,19.14,23.74,17.34,3.36,11.86,1.54,82.20,79.78
04/28/2020,Instant pot Dal Makhani,Recipe,Lunch,1.0,Serving,86,0,1.85,8.29,9.42,1.17,1.99,9.87,5,3.80
04/28/2020,"Cucumber, Persian Organic",Cucumber,Lunch,1.5,Each,8,0,0,0,1.33,n/a,n/a,0.67,n/a,n/a
04/28/2020,Bulgarian Yogurt,Yogurt,Lunch,0.75,Cup,105,0,6,9.75,3.75,3.38,3.75,0,18.75,120
04/28/2020,Pita Bread Whole Wheat,Toast,Lunch,0.5,Serving,65,0,0.75,2.50,13,0,0.25,1,0,100
04/28/2020,"Beef, Carne Asada",Beef,Dinner,2.5,Ounces,124,0,6.25,15,1.88,1.88,1.25,0,0,0
04/28/2020,Street Tacos Yellow Corn Tortillas,Tortilla,Dinner,6.0,Pieces,180,0,2,4,38,n/a,4,4,0,40
04/28/2020,Pollo Asado,Chicken,Dinner,2.5,Ounces,81,0,1.25,14.38,2.50,n/a,n/a,0,9.38,n/a
04/28/2020,"Pork, Carne Al Pastor, w/ Adobo Seasoning, Diced",Pork,Dinner,2.5,Ounces,75,0,2.50,11.67,0.83,1.25,0.83,0,33.33,241.67
04/28/2020,"Onion, Yellow Sauteed",Onion,Dinner,0.25,Cup,29,0,2.35,0.21,1.71,0,0,0.37,0,2.61
04/28/2020,Bulgarian Yogurt,Yogurt,Dinner,0.5,Cup,70,0,4,6.50,2.50,2.25,2.50,0,12.50,80
04/28/2020,"Orange, Medium",Orange,Dinner,0.5,Each,31,0,0.8,0.62,7.70,0.1,6.12,1.57,0,0
04/28/2020,Prickly Pear,Fig,Dinner,0.25,Cup,15,0,0.19,0.27,3.56,0.2,0,1.34,0,1.86
04/28/2020,"Sugar, Granulated",SugarWhite,Dinner,1.0,Tablespoon,49,0,0,0,12.60,0,12.57,0,0,0.13
04/28/2020,"Apple, Honeycrisp, Small",Apple,Snacks,7.2,Ounces,102,0,0.33,0.48,26.38,0,n/a,4.72,0,1.93
04/28/2020,Ya Pear,Pear,Snacks,1.5,Servings,77,0,0,1.50,19.50,0,13.50,6,0,0
04/28/2020,Guava Candy,Candy,Snacks,1.0,Piece,8,0,0,0,12.57,0,12.57,0,0,6.67
04/28/2020,Ghiardelli,Chocolate,Snacks,2.0,Pieces,93,0,5.33,0.67,12,3.33,9.33,1.33,3,43.33
04/28/2020,Clementines,Orange,Snacks,1.0,Piece,40,0,0.50,1,10,0,7,2,0,1
04/28/2020,"Opal Apple, Large",Apple,Snacks,7.0,Ounces,104,0,0.31,0.54,27.39,n/a,20.62,4.75,n/a,2.33
04/28/2020,Baked rice cake bar,Recipe,Snacks,1.0,Serving,114,0,3.33,2.60,18.56,0.53,8.14,0.65,0.78,13.56
04/27/2020,"Oatmeal, Oats, Old Fashioned, Dry",Oatmeal,Breakfast,0.25,Cup,75,0,1.50,2.50,13.50,0.25,0.50,2,0,0
04/27/2020,"Whey Protein, Double Rich Chocolate, Gold Standard",MilkShake,Breakfast,0.5,Serving,60,0,0.50,12,1.50,0.25,0.50,0,15,30
04/27/2020,Rice Basmati Cooked,Rice,Lunch,0.75,Cup,143,0,0,2.22,19.96,n/a,n/a,n/a,0,0
04/27/2020,Jjajang 04/25/2020,Recipe,Lunch,0.5,Serving,104,0,5.52,8.19,5.68,1.78,3.76,1.84,23.33,38.59
04/27/2020,"Cucumber, Persian Organic",Cucumber,Lunch,2.0,Each,11,0,0,0,1.78,n/a,n/a,0.89,n/a,n/a
04/27/2020,Chili Oil With Black Beans,DipRed,Lunch,1.0,Teaspoon,27,0,2.33,0.50,1,0.25,n/a,0.50,n/a,58.33
04/27/2020,"Carrots, Chopped",Carrot,Lunch,0.25,Cup,13,0,0.8,0.30,3.7,0.1,1.52,0.90,0,22.8
04/27/2020,"Peppers, Bell, Red, Medium, 2 3/4"" x 2 1/2""",BellPepperRed,Lunch,0.33,Each,12,0,0.12,0.39,2.37,0.1,1.65,0.82,0,1.57
04/27/2020,"Oil, Canola",Oil,Lunch,1.5,Teaspoons,60,0,7,0,0,0.50,0,0,0,0
04/27/2020,Ya Pear,Pear,Lunch,1.5,Servings,77,0,0,1.50,19.50,0,13.50,6,0,0
04/27/2020,"Egg, Large",Egg,Lunch,1.0,Each,72,0,4.75,6.28,0.36,1.56,0.19,0,186,71
04/27/2020,Pita Bread Whole Wheat,Toast,Dinner,1.0,Serving,130,0,1.50,5,26,0,0.50,2,0,200
04/27/2020,Fesenjan,Recipe,Dinner,1.0,Serving,359,0,19.14,23.74,17.34,3.36,11.86,1.54,82.20,79.78
04/27/2020,Green Cabbage,Cabbage,Dinner,0.1,Each,31,0,0,1.25,6.25,0,3.75,2.50,0,25
04/27/2020,"Peppers, Bell, Red, Medium, 2 3/4"" x 2 1/2""",BellPepperRed,Dinner,0.33,Each,12,0,0.12,0.39,2.37,0.1,1.65,0.82,0,1.57
04/27/2020,"Salad Bar, Grape Tomatoes",Tomato,Dinner,6.0,Each,15,0,0,0,3,0,0.75,0,0,0
04/27/2020,Bulgarian Yogurt,Yogurt,Dinner,0.75,Cup,105,0,6,9.75,3.75,3.38,3.75,0,18.75,120
04/27/2020,"Cucumber, Persian Organic",Cucumber,Dinner,1.5,Each,8,0,0,0,1.33,n/a,n/a,0.67,n/a,n/a
04/27/2020,Baked rice cake bar,Recipe,Dinner,1.0,Serving,114,0,3.33,2.60,18.56,0.53,8.14,0.65,0.78,13.56
04/27/2020,"Orange, Medium",Orange,Dinner,0.33,Each,20,0,0.5,0.41,5.8,0,4.4,1.4,0,0
04/27/2020,"Sugar, Granulated",SugarWhite,Dinner,1.0,Teaspoon,16,0,0,0,4.20,0,4.19,0,0,0.4
04/27/2020,"Whey Protein, Double Rich Chocolate, Gold Standard",MilkShake,Dinner,0.66,Serving,79,0,0.66,15.84,1.98,0.33,0.66,0,19.80,39.60
04/27/2020,Puffed Kamut,Cereal,Dinner,0.25,Cup,13,0,0,0.75,2.75,n/a,0,n/a,n/a,n/a
04/27/2020,Clementines,Orange,Snacks,1.0,Piece,40,0,0.50,1,10,0,7,2,0,1
04/27/2020,Raw Almonds,Almond,Snacks,12.0,Pieces,69,0,0.21,0.10,0.7,n/a,n/a,n/a,0,0
04/27/2020,Andes Candy,Chocolate,Snacks,1.0,Piece,25,0,1.63,n/a,2.75,1.38,2.50,0.6,0,2.50
04/27/2020,Guava Candy,Candy,Snacks,2.0,Pieces,15,0,0,0,25.13,0,25.13,0,0,13.33
04/27/2020,"Opal Apple, Large",Apple,Snacks,7.0,Ounces,104,0,0.31,0.54,27.39,n/a,20.62,4.75,n/a,2.33
05/03/2020,Google Fit Workout,GoogleFit,Exercise,50,minutes,239.044,0
05/03/2020,Steps Calorie Bonus,Default,Exercise,-1,minutes,0.0,0
05/02/2020,Google Fit Workout,GoogleFit,Exercise,157,minutes,1116.45,0
05/02/2020,Steps Calorie Bonus,Default,Exercise,-1,minutes,250.779,0
05/01/2020,Google Fit Workout,GoogleFit,Exercise,50,minutes,241.626,0
05/01/2020,Google Fit Workout,GoogleFit,Exercise,33,minutes,315.895,0
05/01/2020,Steps Calorie Bonus,Default,Exercise,-1,minutes,0.0,0
04/30/2020,Google Fit Workout,GoogleFit,Exercise,29,minutes,241.462,0
04/30/2020,Steps Calorie Bonus,Default,Exercise,-1,minutes,17.3808,0
04/29/2020,Google Fit Workout,GoogleFit,Exercise,36,minutes,348.28,0
04/29/2020,Steps Calorie Bonus,Default,Exercise,-1,minutes,74.2032,0
04/28/2020,Google Fit Workout,GoogleFit,Exercise,29,minutes,236.502,0
04/28/2020,Steps Calorie Bonus,Default,Exercise,-1,minutes,170.667,0
04/27/2020,Google Fit Workout,GoogleFit,Exercise,37,minutes,354.649,0
04/27/2020,Steps Calorie Bonus,Default,Exercise,-1,minutes,0.0,0
